algorithm,round,client_id,standard_size_bytes,delta_size_bytes,reduction_percent
flips,0,17,996814,523852,47.44736731225685
flips,0,91,1002116,462726,53.82510607554415
flips,0,42,1019171,574587,43.622120331131875
flips,0,16,1030219,463251,55.03373554554904
flips,0,57,1040298,474272,54.40998636929033
flips,0,23,1046374,494831,52.70992971920174
flips,0,46,1051006,431153,58.97711335615592
flips,0,44,1020944,468475,54.11354589477973
flips,0,50,1050306,419591,60.050594779045355
flips,0,98,1050195,477214,54.559486571541484
flips,0,17,984608,341221,65.34448227111703
flips,0,91,994762,356111,64.2013868643957
flips,0,54,995965,368470,63.003720010241324
flips,0,46,1000567,296155,70.4012824728379
flips,0,23,1001007,323514,67.68114508689749
flips,0,42,995958,369714,62.878555119794214
flips,0,16,996312,347225,65.14896939914404
flips,0,50,999948,319654,68.03293771276107
flips,0,57,999188,301609,69.81458944663066
flips,0,92,995966,372338,62.61539048521736
flips,1,17,984025,293983,70.12443789537868
flips,1,33,973544,306710,68.49551740856089
flips,1,91,989002,323139,67.32675970321597
flips,1,46,995001,253940,74.47841760963054
flips,1,23,996707,253197,74.59664675777336
flips,1,57,994670,261455,73.71439773995395
flips,1,73,995170,285234,71.33816332887848
flips,1,42,994618,296523,70.18724776748459
flips,1,16,994667,289518,70.8929722208538
flips,1,98,994808,259563,73.90823153814605
flips,2,98,973835,293174,69.89490006007178
flips,2,21,974640,338832,65.23516375277025
flips,2,17,975372,313136,67.89573619090972
flips,2,46,986541,281675,71.44822161471241
flips,2,86,984439,274823,72.08328804527248
flips,2,23,986895,302070,69.39188059520009
flips,2,91,984552,330181,66.46383329676848
flips,2,73,986390,311182,68.452437676781
flips,2,63,986728,295705,70.03176153914757
flips,2,57,986089,288965,70.69584996891761
flips,3,17,974083,309880,68.18751584823882
flips,3,98,973934,256093,73.70530241268915
flips,3,88,973045,310948,68.04382120045835
flips,3,46,974589,300864,69.12914059157245
flips,3,23,975062,310228,68.1837667758563
flips,3,63,974618,294601,69.77266990759456
flips,3,91,973986,312608,67.90426145755688
flips,3,73,974547,296797,69.54513225118953
flips,3,29,974255,269882,72.29862818256001
flips,3,57,974318,275503,71.72350300415265
flips,4,17,974394,283978,70.85593712604962
flips,4,98,973836,265799,72.7059792408578
flips,4,46,974569,302187,68.99275474594411
flips,4,88,972926,306340,68.51353545901743
flips,4,91,973924,303120,68.87642156882879
flips,4,63,974289,265155,72.78476920092498
flips,4,23,974366,302290,68.97572370136068
flips,4,73,974097,279130,71.34474287468291
flips,4,29,973867,271231,72.1490716904875
flips,4,57,974011,257894,73.52247561885852
flips,5,69,971197,303747,68.72447093638057
flips,5,17,974463,282984,70.96000566465838
flips,5,37,975200,307177,68.50112797374898
flips,5,46,974370,302620,68.94198302492893
flips,5,98,973870,272158,72.05397024243483
flips,5,73,974192,282348,71.01721221278763
flips,5,91,973746,302400,68.94467345693846
flips,5,99,973854,254039,73.91405693255868
flips,5,32,973598,265438,72.7363860648851
flips,5,63,974325,282496,71.00597849793446
flips,6,82,971482,274966,71.69623317776346
flips,6,63,973786,274955,71.76433015056696
flips,6,23,974406,310671,68.11688351672711
flips,6,17,974416,297156,69.50419533340997
flips,6,46,974679,298712,69.35278178764496
flips,6,37,974858,319501,67.22589341216874
flips,6,98,974302,273043,71.9755270952949
flips,6,73,974513,290050,70.23641552241992
flips,6,91,973887,300439,69.15052773062995
flips,6,57,974320,229158,76.48021184005255
flips,7,23,971836,314674,67.62066850785524
flips,7,17,972280,314645,67.63843748714362
flips,7,11,972837,292785,69.90400241767121
flips,7,15,972128,318650,67.22139471345338
flips,7,46,972608,307474,68.38664703559914
flips,7,82,971739,296748,69.46217039760676
flips,7,98,971979,277301,71.47047415633465
flips,7,63,972064,299908,69.14729894327945
flips,7,25,971693,295765,69.56188837420872
flips,7,37,972796,316060,67.51014601211354
flips,8,36,969649,316838,67.32446483211967
flips,8,23,971697,298232,69.30812794523395
flips,8,17,972320,320745,67.01240332400855
flips,8,11,972487,287141,70.47353846375324
flips,8,52,971415,275031,71.68758975309214
flips,8,46,972223,306193,68.50588805243241
flips,8,98,971721,288665,70.2934278460587
flips,8,63,972227,305203,68.60784569858684
flips,8,73,972290,278805,71.32491334889797
flips,8,57,972102,253669,73.90510460836414
flips,9,5,967696,298420,69.16180288024339
flips,9,59,970416,311852,67.8640912763186
flips,9,17,970851,328854,66.12724300639337
flips,9,23,971469,309299,68.16172209303642
flips,9,46,972287,302972,68.83924191108181
flips,9,52,971283,308405,68.24766829029232
flips,9,57,971275,249052,74.35824045713109
flips,9,11,972267,293144,69.84943436319448
flips,9,63,971977,310018,68.10438930139293
flips,9,98,971642,299649,69.16055501923549
flips,10,17,970590,340087,64.96079704097508
flips,10,52,970232,320652,66.95099728724676
flips,10,46,971329,307577,68.33441604235023
flips,10,57,970770,280051,71.15166311278675
flips,10,23,971127,311750,67.8981224906732
flips,10,11,971358,311824,67.89813848241329
flips,10,63,971108,323239,66.7144128150525
flips,10,73,971025,296688,69.4458948018846
flips,10,98,970983,299350,69.17041801967696
flips,10,50,970945,293143,69.8084855475851
flips,11,63,967882,319323,67.00806503272094
flips,11,52,969492,325556,66.41993951471493
flips,11,66,968125,316322,67.32632666236282
flips,11,17,970486,347237,64.22029787137579
flips,11,46,971239,326186,66.41547549058471
flips,11,73,971163,309840,68.09598388735981
flips,11,23,971031,319777,67.06830162991706
flips,11,57,970926,285929,70.55089677277155
flips,11,11,971110,314345,67.63034053814707
flips,11,98,970691,312174,67.84002324117561
flips,12,17,967902,340674,64.80284160999771
flips,12,52,967460,348915,63.93494304674094
flips,12,46,968573,330777,65.84903770805091
flips,12,63,968226,345888,64.27610909023306
flips,12,73,968381,314944,67.47726359769554
flips,12,58,967678,309129,68.05455947122907
flips,12,57,968365,289739,70.07956710537866
flips,12,23,968632,319901,66.97393850296088
flips,12,98,968494,316719,67.29778398214134
flips,12,11,968729,317655,67.20909562942784
flips,13,60,966655,309891,67.941923437007
flips,13,24,966106,303122,68.62435384937056
flips,13,64,967017,264530,72.64474150919787
flips,13,87,968377,323556,66.58780619531444
flips,13,17,968220,324066,66.52971432112537
flips,13,46,968618,304767,68.53589340689518
flips,13,4,967918,364641,62.32728392281164
